TF	Cell line	-log10(P-value)	SE/TE mean densities ratio	SE/TE median density ratio	#TE	#SE	TE mean	SE mean	TE median	SE median
ATF2_MOUSE	Cerebellum	0.2828051755577821	1.1514365417470291	1.6206134291240675	13	3	0.04497351321415203	0.05178414652551753	0.03188405797101449	0.05167173252279635
ATF2_MOUSE	Wbrain	0.2980035410337933	1.6839612069477048	1.710920479302832	9	4	0.03248889044483645	0.054710031165878546	0.033426183844011144	0.05718954248366013
ATF2_MOUSE	SmallIntestine	0.7508281231724088	1.4788602362294903	2.0	5	6	0.04323574763715598	0.06393962796424311	0.035256410256410256	0.07051282051282051
ATF3_MOUSE	Placenta	0.30905784867594843	0.741435302507065	0.6010498687664042	8	6	0.04359126032815643	0.032320099288070885	0.039301310043668124	0.023622047244094488
ATF7_MOUSE	MEL	0.4191293077419757	1.3639906862494395	1.2124183006535947	6	3	0.05023422753992631	0.06851901849539459	0.05929919137466307	0.0718954248366013
ATF7_MOUSE	OlfactoryBulb	0.5093059380910636	0.5975862700835898	0.543135372376903	5	5	0.06865005666646831	0.041024331304341875	0.0696969696969697	0.03785488958990536
ATF7_MOUSE	BAT	-0.0	1.0423701101164564	0.95679012345679	3	3	0.034228792578424205	0.035679070289125384	0.035483870967741936	0.033950617283950615
ATF7_MOUSE	Wbrain	0.165688498655914	1.0232493052411757	1.0892891175910042	8	4	0.05241542999856186	0.053634052329945905	0.06639839034205232	0.07232704402515723
ATOH1_MOUSE	CH12	1.0022467431479345	1.212076433919874	1.3003095975232197	16	4	0.0456333636875707	0.05531112472619936	0.04871794871794872	0.06334841628959276
ATOH1_MOUSE	Heart	0.6090088512832903	0.7254701238438677	0.9029605263157894	13	5	0.04243378885375239	0.030784446054896275	0.03278688524590164	0.029605263157894735
ATOH1_MOUSE	Esb4	0.19861890889788156	0.8361443697883721	0.9059999999999999	12	3	0.03629315874482416	0.030346320346320343	0.033112582781456956	0.03
ATOH1_MOUSE	Placenta	0.07589757497696112	1.0307080749769995	0.7814207650273224	29	9	0.04421447271394286	0.045572214057111114	0.04195804195804196	0.03278688524590164
ATOH1_MOUSE	Bmarrow	0.3366703519331149	0.7488275618204179	0.9923841059602649	8	4	0.04978248937982763	0.03727850014364717	0.03003003003003003	0.029801324503311258
ATOH1_MOUSE	MEL	0.14606004726532812	0.9156377074885884	1.0446854663774403	27	8	0.04578016345154822	0.04191804391122848	0.03322259136212625	0.03470715835140998
ATOH1_MOUSE	BmarrowDm	0.2937796976392012	0.9716329408173668	0.9178807947019868	31	13	0.044428559881767624	0.04316825229420236	0.032467532467532464	0.029801324503311258
ATOH1_MOUSE	Es-E14	0.6982880072452488	1.2807403820363945	1.453012048192771	70	11	0.044562955061752306	0.05707357609045933	0.03316749585406302	0.04819277108433735
ATOH1_MOUSE	OlfactoryBulb	0.2295654168592289	1.1373857348425358	1.3984981226533166	28	9	0.04314233040018006	0.04906947116502827	0.033112582781456956	0.04630788485607009
ATOH1_MOUSE	BAT	0.19861890889788156	1.089567097579782	1.0753840657377634	12	3	0.03500983735095103	0.038145566869215955	0.029900332225913623	0.03215434083601286
ATOH1_MOUSE	Kidney	0.14754335490119413	1.140166788388039	1.0358306188925082	18	4	0.03782486627057803	0.04312665629693202	0.031446540880503145	0.03257328990228013
